Do you think the use ChatGPT is considered plagiarism?,Do you think that the use of AI tools such as ChatGPT would inhibit education?,What would be the use of ChatGPT by students/you? choose all that apply.,"If you are currently in post secondary, what is your year of study?","Should ChatGPT be banned in educational institutions, or should systems be adapted to coexist with it? ",What is your age ?,What is your highest level of education (or currently in)?,What is your gender?,What is your desired occupation?,Do you think that ChatGPT will replace you in your occupation/future occupation?,Balancing Efficiency and Authentic Learning: Would You Use ChatGPT to Save Time? ,What do you think is the biggest harm of ChatGPT to the learning experience of students?,Would you recommend the use of ChatGPT to other students?,"Do you believe that ChatGPT provides accurate and reliable information?
","If ChatGPT is used in education, under what circumstances would it be used (if any)?",What is you ethnicity?
Yes,Yes,"Homework help: aid with homework by answering questions and guiding problem-solving., Study aid: helps with exam preparation by providing study materials such as flashcards and quizzes., Writing assistance:improves writing by suggesting sentence structures, correcting grammar, and generating ideas., Academic misconduct",,The education system should adapt to coexist with it.,Teenager:13-19 years,High school diploma or equivalent,Male,engineer doctor,No,,,,,,
It's fine as long as references are used,No,"Homework help: aid with homework by answering questions and guiding problem-solving., Personal development: tutorials and instructions for learning new skills like coding and cooking.",1,The education system should adapt to coexist with it.,Teenager:13-19 years,"Bachelor's degree (e.g. BA, BS)",Male,computer scientist,It will be adapted to coexist with you,,,,,,
No,Yes,"Homework help: aid with homework by answering questions and guiding problem-solving., Research assistance: assist with research and answer specific questions.",2,The education system should adapt to coexist with it.,Young adult: 20-29 years,"Bachelor's degree (e.g. BA, BS)",Female,,No,,,,,,
Yes,No,"Writing assistance:improves writing by suggesting sentence structures, correcting grammar, and generating ideas., Academic misconduct",5,The education system should adapt to coexist with it.,Young adult: 20-29 years,"Graduate degree (e.g. MA, MS, PhD, JD, MD)",Male,School Admin,It will be adapted to coexist with you,,,,,,
Yes,Yes,"Homework help: aid with homework by answering questions and guiding problem-solving., Study aid: helps with exam preparation by providing study materials such as flashcards and quizzes., Mental health support: offer emotional support and guidance for mental health issues., Language learning: help with language practice by providing translations, definitions, and pronunciation help., Academic misconduct",,The education system should adapt to coexist with it.,Middle-aged adult: 30-59 years,"Graduate degree (e.g. MA, MS, PhD, JD, MD)",Female,teacher,It will be adapted to coexist with you,,,,,,
No,No,"Homework help: aid with homework by answering questions and guiding problem-solving., Writing assistance:improves writing by suggesting sentence structures, correcting grammar, and generating ideas., Language learning: help with language practice by providing translations, definitions, and pronunciation help.",,The education system should adapt to coexist with it.,Middle-aged adult: 30-59 years,"Graduate degree (e.g. MA, MS, PhD, JD, MD)",Male,Teacher,It will be adapted to coexist with you,Yes,Inaccuracy of generated responses,Yes,No,,
It's fine as long as references are used,No,"Homework help: aid with homework by answering questions and guiding problem-solving., Study aid: helps with exam preparation by providing study materials such as flashcards and quizzes., Research assistance: assist with research and answer specific questions., Writing assistance:improves writing by suggesting sentence structures, correcting grammar, and generating ideas., Personal development: tutorials and instructions for learning new skills like coding and cooking.",,The education system should adapt to coexist with it.,Middle-aged adult: 30-59 years,"Bachelor's degree (e.g. BA, BS)",Female,,It will be adapted to coexist with you,Yes,diminish the value of original thought and creativity,Yes,Maybe,"Help brainstorm, Teach a confusing concept, Research, Decreasing the workload of teachers, Enhancing the learning experience for students and teachers",White or Caucasian
It's fine as long as references are used,Yes,Homework help: aid with homework by answering questions and guiding problem-solving.,1,The education system should adapt to coexist with it.,Teenager:13-19 years,"Bachelor's degree (e.g. BA, BS)",Male,,It will be adapted to coexist with you,Yes,"create a ""lazy"" learning culture among students",Yes,Maybe,"Save time, Help brainstorm, Teach a confusing concept, Research, Essay proofreading/grammar checking, Decreasing the workload of teachers",Hispanic or Latino/Latina
It's fine as long as references are used,Yes,"Homework help: aid with homework by answering questions and guiding problem-solving., Study aid: helps with exam preparation by providing study materials such as flashcards and quizzes., Research assistance: assist with research and answer specific questions., Writing assistance:improves writing by suggesting sentence structures, correcting grammar, and generating ideas., Mental health support: offer emotional support and guidance for mental health issues., Personal development: tutorials and instructions for learning new skills like coding and cooking., Language learning: help with language practice by providing translations, definitions, and pronunciation help.",1,The education system should adapt to coexist with it.,Young adult: 20-29 years,"Bachelor's degree (e.g. BA, BS)",Male,SWE,It will be adapted to coexist with you,Yes,Inaccuracy of generated responses,Yes,Yes,"Save time, Help brainstorm, Teach a confusing concept, Research, Essay proofreading/grammar checking, Decreasing the workload of teachers, Enhancing the learning experience for students and teachers",Asian or Asian American
Yes,Yes,"Homework help: aid with homework by answering questions and guiding problem-solving., Writing assistance:improves writing by suggesting sentence structures, correcting grammar, and generating ideas., Academic misconduct",1,It should be banned,Teenager:13-19 years,High school diploma or equivalent,Male,,No,Yes,"create a ""lazy"" learning culture among students",Yes,Yes,"Essay proofreading/grammar checking, Decreasing the workload of teachers",Hispanic or Latino/Latina
